Treatment,Dose,Rep,Mort48_raw,TAdTmRT48,Mort72_raw,TAdTmrt72,Mort96_raw,TAdtmrt96,Mort48_abbott,Mort72_abbott,Mort96_abbott
C,0.0,1,10,18.43,20,26.57,30,33.21,0.0,0.0,0.0
C,0.0,2,20,26.57,30,33.21,40,39.23,0.0,4.545454545454544,5.2631578947368505
C,0.0,3,30,33.21,30,33.21,40,39.23,12.499999999999996,4.545454545454544,5.2631578947368505
CL,0.2,1,40,39.23,80,63.43,100,90.0,25.0,72.72727272727273,100.0
CL,0.2,2,60,50.77,90,71.57,100,90.0,49.99999999999999,86.36363636363636,100.0
CL,0.2,3,80,63.43,90,71.57,100,90.0,75.00000000000001,86.36363636363636,100.0
CL,0.4,1,60,50.77,80,63.43,100,90.0,49.99999999999999,72.72727272727273,100.0
CL,0.4,2,80,63.43,90,71.57,100,90.0,75.00000000000001,86.36363636363636,100.0
CL,0.4,3,90,71.57,100,90.0,100,90.0,87.49999999999999,100.0,100.0
CL,0.6,1,100,90.0,100,90.0,100,90.0,100.0,100.0,100.0
CL,0.6,2,90,71.57,100,90.0,100,90.0,87.49999999999999,100.0,100.0
CL,0.6,3,70,56.79,90,71.57,100,90.0,62.499999999999986,86.36363636363636,100.0
CL,0.8,1,80,63.43,100,90.0,100,90.0,75.00000000000001,100.0,100.0
CL,0.8,2,80,63.43,90,71.57,100,90.0,75.00000000000001,86.36363636363636,100.0
CL,0.8,3,100,90.0,100,90.0,100,90.0,100.0,100.0,100.0
CL,1.0,1,90,71.57,100,90.0,100,90.0,87.49999999999999,100.0,100.0
CL,1.0,2,100,90.0,100,90.0,100,90.0,100.0,100.0,100.0
CL,1.0,3,100,90.0,100,90.0,100,90.0,100.0,100.0,100.0
AL,0.2,1,20,26.57,20,26.57,40,39.23,0.0,0.0,5.2631578947368505
AL,0.2,2,20,26.57,20,26.57,40,39.23,0.0,0.0,5.2631578947368505
AL,0.2,3,10,18.43,20,26.57,30,39.23,0.0,0.0,0.0
AL,0.4,1,10,18.43,20,26.57,50,33.31,0.0,0.0,21.052631578947373
AL,0.4,2,20,26.57,20,26.57,40,45.0,0.0,0.0,5.2631578947368505
AL,0.4,3,30,26.57,20,33.21,40,39.23,12.499999999999996,0.0,5.2631578947368505
AL,0.6,1,10,18.43,30,33.21,30,33.21,0.0,4.545454545454544,0.0
AL,0.6,2,20,18.43,30,26.57,50,45.0,0.0,4.545454545454544,21.052631578947373
AL,0.6,3,10,18.43,20,26.57,50,45.0,0.0,0.0,21.052631578947373
AL,0.8,1,20,26.57,20,26.57,30,33.21,0.0,0.0,0.0
AL,0.8,2,10,18.43,20,18.43,40,39.23,0.0,0.0,5.2631578947368505
AL,0.8,3,10,18.43,10,26.57,40,39.23,0.0,0.0,5.2631578947368505
AL,1.0,1,20,26.57,20,26.57,30,33.21,0.0,0.0,0.0
AL,1.0,2,20,26.57,20,26.57,30,33.21,0.0,0.0,0.0
AL,1.0,3,20,26.57,20,26.57,40,39.23,0.0,0.0,5.2631578947368505
ALCL,0.2,1,70,44.43,30,71.57,100,90.0,62.499999999999986,4.545454545454544,100.0
ALCL,0.2,2,90,71.57,90,90.0,100,90.0,87.49999999999999,86.36363636363636,100.0
ALCL,0.2,3,70,44.43,100,71.57,100,90.0,62.499999999999986,100.0,100.0
ALCL,0.4,1,90,71.57,90,90.0,100,90.0,87.49999999999999,86.36363636363636,100.0
ALCL,0.4,2,90,71.57,100,90.0,100,90.0,87.49999999999999,100.0,100.0
ALCL,0.4,3,80,63.43,100,71.57,100,90.0,75.00000000000001,100.0,100.0
ALCL,0.6,1,90,71.57,90,90.0,100,90.0,87.49999999999999,86.36363636363636,100.0
ALCL,0.6,2,80,63.43,100,71.57,100,90.0,75.00000000000001,100.0,100.0
ALCL,0.6,3,90,71.57,90,71.57,100,90.0,87.49999999999999,86.36363636363636,100.0
ALCL,0.8,1,90,71.57,100,90.0,100,90.0,87.49999999999999,100.0,100.0
ALCL,0.8,2,100,90.0,100,90.0,100,90.0,100.0,100.0,100.0
ALCL,0.8,3,100,90.0,100,90.0,100,90.0,100.0,100.0,100.0
ALCL,1.0,1,100,90.0,100,90.0,100,90.0,100.0,100.0,100.0
ALCL,1.0,2,100,90.0,100,90.0,100,90.0,100.0,100.0,100.0
ALCL,1.0,3,100,90.0,100,90.0,100,90.0,100.0,100.0,100.0
