Treatment,Dose numeric,Rep,AdtM24,AdtM48,AdtM72,Mort24 %,Mort48 %,Mort72 %,Abbott24 %,Abbott48 %,Abbott72 %
C,0.0,1,33.21,39.25,39.25,29.998543138136764,40.031603279140135,40.031603279140135,,,
C,0.0,2,18.43,18.43,18.43,9.994818201607657,9.994818201607657,9.994818201607657,,,
C,0.0,3,18.43,18.43,18.43,9.994818201607657,9.994818201607657,9.994818201607657,,,
CL,0.2,1,63.43,90.0,90.0,79.99308969208704,100.0,100.0,75.99284273294336,100.0,100.0
CL,0.2,2,90.0,90.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0
CL,0.2,3,71.57,71.57,90.0,90.00518179839231,90.00518179839231,100.0,88.00678521926827,87.5053714899041,100.0
CL,0.4,1,63.43,90.0,90.0,79.99308969208704,100.0,100.0,75.99284273294336,100.0,100.0
CL,0.4,2,90.0,90.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0
CL,0.4,3,56.79,90.0,90.0,70.00145686186322,100.0,100.0,64.00345021714857,100.0,100.0
CL,0.6,1,71.57,90.0,90.0,90.00518179839231,100.0,100.0,88.00678521926827,100.0,100.0
CL,0.6,2,50.77,90.0,90.0,60.00260011387808,100.0,100.0,52.005389409892906,100.0,100.0
CL,0.6,3,56.79,90.0,90.0,70.00145686186322,100.0,100.0,64.00345021714857,100.0,100.0
CL,0.8,1,90.0,90.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0
CL,0.8,2,71.57,90.0,90.0,90.00518179839231,100.0,100.0,88.00678521926827,100.0,100.0
CL,0.8,3,90.0,90.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0
CL,1.0,1,56.79,90.0,90.0,70.00145686186322,100.0,100.0,64.00345021714857,100.0,100.0
CL,1.0,2,63.43,90.0,90.0,79.99308969208704,100.0,100.0,75.99284273294336,100.0,100.0
CL,1.0,3,90.0,90.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0
C,0.0,1,33.21,39.25,39.25,29.998543138136764,40.031603279140135,40.031603279140135,,,
C,0.0,2,18.43,18.43,18.43,9.994818201607657,9.994818201607657,9.994818201607657,,,
C,0.0,3,18.43,18.43,18.43,9.994818201607657,9.994818201607657,9.994818201607657,,,
B,0.2,1,18.43,26.57,26.57,9.994818201607657,20.006910307912953,20.006910307912953,0.0,0.0,0.0
B,0.2,2,0.0,33.21,33.21,0.0,29.998543138136764,29.998543138136764,0.0,12.490434441939636,12.490434441939636
B,0.2,3,0.0,26.57,26.57,0.0,20.006910307912953,20.006910307912953,0.0,0.0,0.0
B,0.4,1,18.43,39.23,39.23,9.994818201607657,39.99739988612192,39.99739988612192,0.0,24.990111581804396,24.990111581804396
B,0.4,2,26.57,33.21,33.21,20.006910307912953,29.998543138136764,29.998543138136764,4.012830818951686,12.490434441939636,12.490434441939636
B,0.4,3,0.0,26.57,26.57,0.0,20.006910307912953,20.006910307912953,0.0,0.0,0.0
B,0.6,1,26.57,33.21,33.21,20.006910307912953,29.998543138136764,29.998543138136764,4.012830818951686,12.490434441939636,12.490434441939636
B,0.6,2,33.21,45.0,45.0,29.998543138136764,49.999999999999986,49.999999999999986,16.00222333474647,37.494468343175605,37.494468343175605
B,0.6,3,18.43,45.0,45.0,9.994818201607657,49.999999999999986,49.999999999999986,0.0,37.494468343175605,37.494468343175605
B,0.8,1,26.57,39.23,39.23,20.006910307912953,39.99739988612192,39.99739988612192,4.012830818951686,24.990111581804396,24.990111581804396
B,0.8,2,18.43,33.21,33.21,9.994818201607657,29.998543138136764,29.998543138136764,0.0,12.490434441939636,12.490434441939636
B,0.8,3,26.57,39.23,39.23,20.006910307912953,39.99739988612192,39.99739988612192,4.012830818951686,24.990111581804396,24.990111581804396
B,1.0,1,0.0,45.0,45.0,0.0,49.999999999999986,49.999999999999986,0.0,37.494468343175605,37.494468343175605
B,1.0,2,18.43,39.23,39.23,9.994818201607657,39.99739988612192,39.99739988612192,0.0,24.990111581804396,24.990111581804396
B,1.0,3,26.57,39.23,39.23,20.006910307912953,39.99739988612192,39.99739988612192,4.012830818951686,24.990111581804396,24.990111581804396
C,0.0,1,33.21,39.25,39.25,29.998543138136764,40.031603279140135,40.031603279140135,,,
C,0.0,2,18.43,18.43,18.43,9.994818201607657,9.994818201607657,9.994818201607657,,,
C,0.0,3,18.43,18.43,18.43,9.994818201607657,9.994818201607657,9.994818201607657,,,
CLB,0.2,1,39.25,45.0,56.79,40.031603279140135,49.999999999999986,70.00145686186322,28.041326273076752,37.494468343175605,62.4985022444116
CLB,0.2,2,33.21,39.23,63.43,29.998543138136764,39.99739988612192,79.99308969208704,16.00222333474647,24.990111581804396,74.98914868787
CLB,0.2,3,26.57,39.23,63.43,20.006910307912953,39.99739988612192,79.99308969208704,4.012830818951686,24.990111581804396,74.98914868787
CLB,0.4,1,26.57,39.23,56.79,20.006910307912953,39.99739988612192,70.00145686186322,4.012830818951686,24.990111581804396,62.4985022444116
CLB,0.4,2,26.57,45.0,63.43,20.006910307912953,49.999999999999986,79.99308969208704,4.012830818951686,37.494468343175605,74.98914868787
CLB,0.4,3,33.21,50.77,71.57,29.998543138136764,60.00260011387808,90.00518179839231,16.00222333474647,49.99882510454685,87.5053714899041
CLB,0.6,1,45.0,33.21,63.43,49.999999999999986,29.998543138136764,79.99308969208704,40.002836775947515,12.490434441939636,74.98914868787
CLB,0.6,2,33.21,33.21,71.57,29.998543138136764,29.998543138136764,90.00518179839231,16.00222333474647,12.490434441939636,87.5053714899041
CLB,0.6,3,26.57,45.0,56.49,20.006910307912953,49.999999999999986,69.52048939408157,4.012830818951686,37.494468343175605,61.89723969874502
CLB,0.8,1,39.23,50.77,63.43,39.99739988612192,60.00260011387808,79.99308969208704,28.000284142002148,49.99882510454685,74.98914868787
CLB,0.8,2,45.0,33.21,56.79,49.999999999999986,29.998543138136764,70.00145686186322,40.002836775947515,12.490434441939636,62.4985022444116
CLB,0.8,3,26.57,39.23,63.43,20.006910307912953,39.99739988612192,79.99308969208704,4.012830818951686,24.990111581804396,74.98914868787
CLB,1.0,1,39.25,50.79,71.57,40.031603279140135,60.03679863175051,90.00518179839231,28.041326273076752,50.04157703537668,87.5053714899041
CLB,1.0,2,45.0,45.0,71.57,49.999999999999986,49.999999999999986,90.00518179839231,40.002836775947515,37.494468343175605,87.5053714899041
CLB,1.0,3,39.25,56.79,90.5,40.031603279140135,70.00145686186322,99.99238475781956,28.041326273076752,62.4985022444116,99.99048010477632
