Treatment,Dose,Rep,AdtM24_raw,AdtM48_raw,AdtM72_raw,AdtM24,AdtM48,AdtM72,Mort24_pct,Mort48_pct,Mort72_pct,Adtem21_raw,Adtem38_raw,WTL
C,0.0,1,40,50,50,39.2315204835923,45.0,45.0,40,50,50,70,100,6.68
C,0.0,2,10,10,40,18.434948822922,18.434948822922,39.2315204835923,10,10,40,50,60,4.7
C,0.0,3,30,30,30,33.2109107608991,33.2109107608991,33.2109107608991,30,30,30,77,80,5.96
CL,0.2,1,20,40,60,26.565051177078,39.2315204835923,50.7684795164077,20,40,60,20,19,4.77
CL,0.2,2,30,50,70,33.2109107608991,45.0,56.7890892391009,30,50,70,12,17,3.23
CL,0.2,3,50,80,100,45.0,63.434948822922,90.0,50,80,100,9,10,0.37
CL,0.4,1,60,80,90,50.7684795164077,63.434948822922,71.565051177078,60,80,90,7,6,0.0
CL,0.4,2,70,60,90,56.7890892391009,50.7684795164077,71.565051177078,70,60,90,4,3,0.0
CL,0.4,3,50,50,70,45.0,45.0,56.7890892391009,50,50,70,0,2,0.0
CL,0.6,1,50,100,100,45.0,90.0,90.0,50,100,100,0,0,0.48
CL,0.6,2,30,100,100,33.2109107608991,90.0,90.0,30,100,100,0,0,0.67
CL,0.6,3,40,100,100,39.2315204835923,90.0,90.0,40,100,100,0,0,0.0
CL,0.8,1,100,100,100,90.0,90.0,90.0,100,100,100,0,0,0.45
CL,0.8,2,100,100,100,90.0,90.0,90.0,100,100,100,0,0,0.02
CL,0.8,3,90,100,100,71.565051177078,90.0,90.0,90,100,100,0,0,0.0
CL,1.0,1,100,100,100,90.0,90.0,90.0,100,100,100,0,1,0.0
CL,1.0,2,100,100,100,90.0,90.0,90.0,100,100,100,1,0,0.0
CL,1.0,3,100,100,100,90.0,90.0,90.0,100,100,100,0,0,0.0
TD,0.2,1,10,10,10,18.434948822922,18.434948822922,18.434948822922,10,10,10,50,60,7.28
TD,0.2,2,30,30,20,33.2109107608991,33.2109107608991,26.565051177078,30,30,20,55,67,10.92
TD,0.2,3,0,10,30,0.0,18.434948822922,33.2109107608991,0,10,30,60,53,7.36
TD,0.4,1,10,10,30,18.434948822922,18.434948822922,33.2109107608991,10,10,30,56,61,7.21
TD,0.4,2,10,10,10,18.434948822922,18.434948822922,18.434948822922,10,10,10,48,54,7.32
TD,0.4,3,10,10,20,18.434948822922,18.434948822922,26.565051177078,10,10,20,52,58,7.38
TD,0.6,1,40,50,90,39.2315204835923,45.0,71.565051177078,40,50,90,19,21,3.21
TD,0.6,2,20,20,40,26.565051177078,26.565051177078,39.2315204835923,20,20,40,10,12,5.81
TD,0.6,3,20,50,60,26.565051177078,45.0,50.7684795164077,20,50,60,15,17,1.79
TD,0.8,1,20,20,40,26.565051177078,26.565051177078,39.2315204835923,20,20,40,21,26,3.24
TD,0.8,2,10,20,40,18.434948822922,26.565051177078,39.2315204835923,10,20,40,24,29,3.3
TD,0.8,3,0,10,30,0.0,18.434948822922,33.2109107608991,0,10,30,39,33,3.37
TD,1.0,1,10,0,30,18.434948822922,0.0,33.2109107608991,10,0,30,2,4,1.25
TD,1.0,2,0,0,50,0.0,0.0,45.0,0,0,50,0,0,0.64
TD,1.0,3,10,20,30,18.434948822922,26.565051177078,33.2109107608991,10,20,30,10,10,4.64
CLTD,0.2,1,50,50,60,45.0,45.0,50.7684795164077,50,50,60,1,0,0.0
CLTD,0.2,2,0,10,20,0.0,18.434948822922,26.565051177078,0,10,20,0,1,0.46
CLTD,0.2,3,0,0,30,0.0,0.0,33.2109107608991,0,0,30,0,0,0.0
CLTD,0.4,1,10,10,40,18.434948822922,18.434948822922,39.2315204835923,10,10,40,0,0,1.37
CLTD,0.4,2,10,10,40,18.434948822922,18.434948822922,39.2315204835923,10,10,40,0,0,0.23
CLTD,0.4,3,20,20,50,26.565051177078,26.565051177078,45.0,20,20,50,0,1,0.0
CLTD,0.6,1,30,70,90,33.2109107608991,56.7890892391009,71.565051177078,30,70,90,0,0,0.44
CLTD,0.6,2,50,70,100,45.0,56.7890892391009,90.0,50,70,100,0,0,0.18
CLTD,0.6,3,10,30,80,18.434948822922,33.2109107608991,63.434948822922,10,30,80,0,0,0.16
CLTD,0.8,1,60,100,100,50.7684795164077,90.0,90.0,60,100,100,0,0,0.73
CLTD,0.8,2,60,90,100,50.7684795164077,71.565051177078,90.0,60,90,100,0,0,0.2
CLTD,0.8,3,40,80,100,39.2315204835923,63.434948822922,90.0,40,80,100,0,0,1.0
CLTD,1.0,1,40,100,100,39.2315204835923,90.0,90.0,40,100,100,0,0,0.0
CLTD,1.0,2,10,100,100,18.434948822922,90.0,90.0,10,100,100,0,0,0.0
CLTD,1.0,3,30,90,100,33.2109107608991,71.565051177078,90.0,30,90,100,0,0,0.12
