VRT,FORM,LVL,REP,ADMOR1,ADMOR5,ADMOR10,ADMOR15,ADMOR21,ADMOR28,OVI58,OVI65,DMGSEED58,DMGSEED65,WGHTLOSS58,WGHTLOSS65,IR58,IR65,GRM
1,1,1,1,0,1,1,2,1,2,11,16,47.8,73.9,0,0,0.0,0.0,0
2,1,1,1,0,2,1,2,0,0,23,27,58.1,70.9,40,60,0.0,0.0,0
3,1,1,1,0,1,1,1,0,0,21,21,72.2,88.9,20,20,0.0,0.0,0
4,1,1,1,0,0,2,0,0,4,5,5,39.5,42.1,0,20,0.0,0.0,0
1,1,2,1,0,0,1,1,3,1,17,20,69.6,78.3,20,20,-54.5,-25.0,80
2,1,2,1,1,1,0,1,0,2,24,29,83.9,90.3,20,20,-4.3,-7.4,0
3,1,2,1,0,1,0,0,0,1,6,9,77.8,77.8,40,40,71.4,57.1,0
4,1,2,1,0,0,1,0,0,0,32,35,65.8,73.7,40,40,-540.0,-600.0,0
1,1,3,1,0,1,0,2,0,0,17,21,65.2,78.3,20,20,-54.5,-31.3,70
2,1,3,1,0,0,1,0,0,1,20,23,58.1,67.7,20,20,13.0,14.8,0
3,1,3,1,0,0,1,0,0,2,12,15,55.6,66.7,0,20,42.9,28.6,0
4,1,3,1,0,0,2,0,0,0,20,26,57.9,60.5,60,60,-300.0,-420.0,0
1,1,4,1,0,1,0,1,0,2,21,25,60.9,73.9,20,40,-90.9,-56.3,0
2,1,4,1,0,0,1,0,2,1,28,31,67.7,77.4,40,40,-21.7,-14.8,0
3,1,4,1,0,1,1,1,0,1,26,28,77.8,100.0,20,20,-23.8,-33.3,0
4,1,4,1,0,0,3,0,0,0,25,26,47.4,55.3,40,40,-400.0,-420.0,0
1,2,1,1,0,1,0,2,0,2,16,25,52.2,86.9,20,20,0.0,0.0,10
2,2,1,1,0,1,1,0,1,0,2,4,9.7,9.7,0,0,0.0,0.0,0
3,2,1,1,0,1,2,1,1,1,17,19,83.3,94.4,20,20,0.0,0.0,0
4,2,1,1,0,1,1,1,1,0,28,32,65.8,78.9,20,40,0.0,0.0,0
1,2,2,1,0,0,0,1,0,5,18,25,43.5,69.5,20,40,-12.5,0.0,10
2,2,2,1,0,0,2,0,1,0,18,20,45.2,48.4,20,20,-800.0,-400.0,0
3,2,2,1,0,0,2,1,0,4,16,18,55.6,66.7,0,20,5.9,5.3,0
4,2,2,1,0,0,1,0,0,0,40,40,78.9,92.1,40,60,-42.9,-25.0,0
1,2,3,1,0,1,2,0,0,3,2,7,34.8,52.2,0,0,87.5,72.0,10
