Rep,Irrigation,Variety,Spacing,Yield
R1,Deficit,V1,Narrow,6.322
R1,Deficit,V1,Wide,8.149
R1,Deficit,V2,Narrow,6.976
R1,Deficit,V2,Wide,9.107
R1,Deficit,V3,Narrow,8.547
R1,Deficit,V3,Wide,10.531
R1,Full,V1,Narrow,9.511
R1,Full,V1,Wide,10.811
R1,Full,V2,Narrow,10.295
R1,Full,V2,Wide,11.729
R1,Full,V3,Narrow,11.521
R1,Full,V3,Wide,13.515
R2,Deficit,V1,Narrow,6.62
R2,Deficit,V1,Wide,7.917
R2,Deficit,V2,Narrow,7.843
R2,Deficit,V2,Wide,9.019
R2,Deficit,V3,Narrow,8.576
R2,Deficit,V3,Wide,10.134
R2,Full,V1,Narrow,9.956
R2,Full,V1,Wide,11.603
R2,Full,V2,Narrow,11.04
R2,Full,V2,Wide,12.334
R2,Full,V3,Narrow,11.764
R2,Full,V3,Wide,13.369
R3,Deficit,V1,Narrow,7.655
R3,Deficit,V1,Wide,8.579
R3,Deficit,V2,Narrow,7.785
R3,Deficit,V2,Wide,9.435
R3,Deficit,V3,Narrow,8.792
R3,Deficit,V3,Wide,10.666
R3,Full,V1,Narrow,9.874
R3,Full,V1,Wide,12.036
R3,Full,V2,Narrow,11.055
R3,Full,V2,Wide,13.013
R3,Full,V3,Narrow,11.836
R3,Full,V3,Wide,13.184
