Rep,Irrigation,Variety,Spacing,Yield
R1,Deficit,V1,Narrow,9.81
R1,Deficit,V1,Wide,7.28
R1,Deficit,V2,Narrow,7.322
R1,Deficit,V2,Wide,8.761
R1,Deficit,V3,Narrow,4.69
R1,Deficit,V3,Wide,10.977
R1,Full,V1,Narrow,5.483
R1,Full,V1,Wide,11.828
R1,Full,V2,Narrow,10.221
R1,Full,V2,Wide,12.01
R1,Full,V3,Narrow,15.653
R1,Full,V3,Wide,12.521
R2,Deficit,V1,Narrow,10.431
R2,Deficit,V1,Wide,7.617
R2,Deficit,V2,Narrow,7.227
R2,Deficit,V2,Wide,8.96
R2,Deficit,V3,Narrow,5.028
R2,Deficit,V3,Wide,10.912
R2,Full,V1,Narrow,6.011
R2,Full,V1,Wide,11.724
R2,Full,V2,Narrow,10.903
R2,Full,V2,Wide,12.188
R2,Full,V3,Narrow,15.416
R2,Full,V3,Wide,12.771
R3,Deficit,V1,Narrow,10.855
R3,Deficit,V1,Wide,8.099
R3,Deficit,V2,Narrow,7.961
R3,Deficit,V2,Wide,9.529
R3,Deficit,V3,Narrow,4.927
R3,Deficit,V3,Wide,11.8
R3,Full,V1,Narrow,6.135
R3,Full,V1,Wide,11.917
R3,Full,V2,Narrow,11.007
R3,Full,V2,Wide,12.365
R3,Full,V3,Narrow,15.919
R3,Full,V3,Wide,13.12
