Rep,Irrigation,Variety,Spacing,Yield
R1,Deficit,V1,Narrow,8.295
R1,Deficit,V1,Wide,10.11
R1,Deficit,V2,Narrow,7.543
R1,Deficit,V2,Wide,9.011
R1,Deficit,V3,Narrow,6.588
R1,Deficit,V3,Wide,8.257
R1,Full,V1,Narrow,7.762
R1,Full,V1,Wide,9.359
R1,Full,V2,Narrow,10.577
R1,Full,V2,Wide,11.516
R1,Full,V3,Narrow,12.745
R1,Full,V3,Wide,14.699
R2,Deficit,V1,Narrow,8.319
R2,Deficit,V1,Wide,10.225
R2,Deficit,V2,Narrow,7.394
R2,Deficit,V2,Wide,9.49
R2,Deficit,V3,Narrow,7.056
R2,Deficit,V3,Wide,8.637
R2,Full,V1,Narrow,8.148
R2,Full,V1,Wide,9.644
R2,Full,V2,Narrow,10.52
R2,Full,V2,Wide,11.943
R2,Full,V3,Narrow,13.582
R2,Full,V3,Wide,14.657
R3,Deficit,V1,Narrow,8.48
R3,Deficit,V1,Wide,10.617
R3,Deficit,V2,Narrow,7.979
R3,Deficit,V2,Wide,9.551
R3,Deficit,V3,Narrow,7.196
R3,Deficit,V3,Wide,8.713
R3,Full,V1,Narrow,8.039
R3,Full,V1,Wide,9.99
R3,Full,V2,Narrow,10.456
R3,Full,V2,Wide,12.815
R3,Full,V3,Narrow,13.629
R3,Full,V3,Wide,15.162
