Location,Year,Replication,Genotype,Days_to_Silking
Loc1,2023,1,G01,49.28
Loc1,2023,1,G02,48.83
Loc1,2023,1,G03,52.38
Loc1,2023,1,G04,50.97
Loc1,2023,1,G05,51.95
Loc1,2023,1,G06,49.96
Loc1,2023,1,G07,55.75
Loc1,2023,1,G08,50.57
Loc1,2023,1,G09,51.89
Loc1,2023,1,G10,52.19
Loc1,2023,1,G11,52.36
Loc1,2023,1,G12,53.19
Loc1,2023,1,G13,54.98
Loc1,2023,1,G14,54.71
Loc1,2023,1,G15,53.95
Loc1,2023,1,G16,56.3
Loc1,2023,1,G17,54.97
Loc1,2023,1,G18,55.88
Loc1,2023,1,G19,54.47
Loc1,2023,1,G20,54.73
Loc1,2023,2,G01,46.36
Loc1,2023,2,G02,50.57
Loc1,2023,2,G03,50.58
Loc1,2023,2,G04,48.21
Loc1,2023,2,G05,45.68
Loc1,2023,2,G06,50.32
Loc1,2023,2,G07,52.32
Loc1,2023,2,G08,50.43
Loc1,2023,2,G09,52.54
Loc1,2023,2,G10,53.43
Loc1,2023,2,G11,51.16
Loc1,2023,2,G12,51.29
Loc1,2023,2,G13,52.16
Loc1,2023,2,G14,49.3
Loc1,2023,2,G15,55.44
Loc1,2023,2,G16,54.09
Loc1,2023,2,G17,51.89
Loc1,2023,2,G18,51.43
Loc1,2023,2,G19,53.49
Loc1,2023,2,G20,54.97
Loc1,2023,3,G01,45.95
Loc1,2023,3,G02,51.67
Loc1,2023,3,G03,55.67
Loc1,2023,3,G04,52.04
Loc1,2023,3,G05,54.14
Loc1,2023,3,G06,50.8
Loc1,2023,3,G07,50.25
Loc1,2023,3,G08,51.34
Loc1,2023,3,G09,50.54
Loc1,2023,3,G10,52.04
Loc1,2023,3,G11,53.81
Loc1,2023,3,G12,54.38
Loc1,2023,3,G13,52.98
Loc1,2023,3,G14,55.75
Loc1,2023,3,G15,54.53
Loc1,2023,3,G16,54.48
Loc1,2023,3,G17,54.79
Loc1,2023,3,G18,53.21
Loc1,2023,3,G19,56.14
Loc1,2023,3,G20,55.92
Loc1,2024,1,G01,50.43
Loc1,2024,1,G02,51.93
Loc1,2024,1,G03,50.48
Loc1,2024,1,G04,50.26
Loc1,2024,1,G05,51.4
Loc1,2024,1,G06,53.73
Loc1,2024,1,G07,53.2
Loc1,2024,1,G08,49.22
Loc1,2024,1,G09,48.85
Loc1,2024,1,G10,47.97
Loc1,2024,1,G11,52.7
Loc1,2024,1,G12,52.01
Loc1,2024,1,G13,52.03
Loc1,2024,1,G14,55.79
Loc1,2024,1,G15,55.06
Loc1,2024,1,G16,53.83
Loc1,2024,1,G17,56
Loc1,2024,1,G18,55.97
Loc1,2024,1,G19,53.07
Loc1,2024,1,G20,56.63
Loc1,2024,2,G01,50.89
Loc1,2024,2,G02,53.35
Loc1,2024,2,G03,50.43
Loc1,2024,2,G04,52.76
Loc1,2024,2,G05,54.82
Loc1,2024,2,G06,53.39
Loc1,2024,2,G07,52.77
Loc1,2024,2,G08,54.89
Loc1,2024,2,G09,52.52
Loc1,2024,2,G10,53.97
Loc1,2024,2,G11,53.83
Loc1,2024,2,G12,54.76
Loc1,2024,2,G13,55.13
Loc1,2024,2,G14,55.98
Loc1,2024,2,G15,57.62
Loc1,2024,2,G16,56.4
Loc1,2024,2,G17,59.15
Loc1,2024,2,G18,59.01
Loc1,2024,2,G19,57.79
Loc1,2024,2,G20,54.9
Loc1,2024,3,G01,49.17
Loc1,2024,3,G02,53.27
Loc1,2024,3,G03,51.49
Loc1,2024,3,G04,50.92
Loc1,2024,3,G05,55.47
Loc1,2024,3,G06,55.59
Loc1,2024,3,G07,52.79
Loc1,2024,3,G08,55.53
Loc1,2024,3,G09,53.88
Loc1,2024,3,G10,54.88
Loc1,2024,3,G11,55.17
Loc1,2024,3,G12,54.97
Loc1,2024,3,G13,54.38
Loc1,2024,3,G14,56.99
Loc1,2024,3,G15,55.75
Loc1,2024,3,G16,55.29
Loc1,2024,3,G17,56.02
Loc1,2024,3,G18,60.69
Loc1,2024,3,G19,56.29
Loc1,2024,3,G20,57.82
Loc1,2025,1,G01,48.76
Loc1,2025,1,G02,51.57
Loc1,2025,1,G03,51.75
Loc1,2025,1,G04,53.91
Loc1,2025,1,G05,49.89
Loc1,2025,1,G06,50.67
Loc1,2025,1,G07,52.65
Loc1,2025,1,G08,52.27
Loc1,2025,1,G09,51.48
Loc1,2025,1,G10,51.97
